code,label,mass,contrib_axis1,contrib_axis2,coord_axis1,coord_axis2
attribution__ATR-PAL,ATR-PAL Attributed to Palestinian factions / Hamas,0.013331564634874315,0.09135811002968516,0.46595920494454723,-0.6073777882771196,0.7916703468935533
attribution__ATR-ISR,ATR-ISR Attributed to Israel,0.04680418297185559,0.23261888193178515,0.018934924686630276,0.5172566247297705,-0.08517270661369289
transcend__T0,T0 Either/Or (Zero-sum),0.008755057372156264,0.09621235508129058,0.08757224431894095,0.7691514061220881,0.42351103763149606
transcend__T1,T1 Leaning zero-sum,0.008445535141827509,0.034106058350717054,0.08398320699152123,0.46625992823803036,0.4222733098089195
imperialism__I0,I0 Total asymmetry,0.001779752824390351,2.1371395746959138e-05,0.09774341625481109,0.025425090744988818,0.9923729168364673
violence_type__VS,VS Structural violence,0.03844708275297917,0.09280553179995757,0.003919332712838769,0.3604799792974918,-0.042754847490867956
relation_type__ANTI,ANTI Antibiosis,0.00267515641926997,0.056623645905729846,0.030638091450824502,1.0674566279733355,0.4531763689621067
violence_type__NONE_ABSENT,violence_type: none,0.08846808604718,0.051266353105840864,0.01965845371732091,-0.1766236316234015,-0.06312368631580152
attribution__NONE_ABSENT,attribution: none,0.08846808604718,0.051266353105840864,0.01965845371732091,-0.1766236316234015,-0.06312368631580152
violence_type__VD,VD Direct violence,0.05034157988989855,0.02388555550983361,0.044983212336302404,0.1598196467369565,0.1265822479972909
positive_negative__PN3,PN3 Predominantly positive peace,0.02135703389268422,0.03473376604021634,0.02878698705912424,0.2958907459392111,-0.15546714724010732
positive_negative__PN2,PN2 Transitional,0.017709093320952444,0.04769979101655656,0.01023104410188377,-0.3807903980034686,-0.10178242802022626
positive_negative__PN1,PN1 Predominantly negative peace,0.0412106740952002,0.03533167012208753,0.016061604657886357,-0.21483406103783098,0.08359890681165502
violence_type__VC,VC Cultural violence,0.0031615484955008744,0.023007894115061253,0.014210082089886613,0.6259136529829171,0.28389605725970857
transcend__T4,T4 Both/And (Transcend),0.004189604474807103,0.02994511861369949,0.0003135926869327906,-0.6203009128379786,-0.03663594871613282
