country,iso3,cluster,n_paragraphs
Russian Federation,RUS,1,1091
Algeria,DZA,1,644
Guyana,GUY,1,601
China,CHN,1,573
Pakistan,PAK,1,344
Egypt,EGY,1,230
Somalia,SOM,1,207
Lebanon,LBN,1,194
Iran,IRN,1,186
Syrian Arab Republic,SYR,1,173
Jordan,JOR,1,167
Türkiye,TUR,1,144
Qatar,QAT,1,141
South Africa,ZAF,1,131
Kuwait,KWT,1,129
Iraq,IRQ,1,127
Saudi Arabia,SAU,1,116
Malaysia,MYS,1,97
Venezuela,VEN,1,95
Uganda,UGA,1,91
Cuba,CUB,1,84
Libya,LBY,1,84
Tunisia,TUN,1,84
Bangladesh,BGD,1,71
Mauritania,MRT,1,71
Indonesia,IDN,1,66
Maldives,MDV,1,65
Oman,OMN,1,52
Yemen,YEM,1,37
United States,USA,2,877
Sierra Leone,SLE,2,758
Slovenia,SVN,2,561
France,FRA,2,544
United Kingdom,GBR,2,483
Switzerland,CHE,2,475
Republic of Korea,KOR,2,464
Malta,MLT,2,455
Mozambique,MOZ,2,370
Japan,JPN,2,367
Ecuador,ECU,2,332
United Arab Emirates,ARE,2,263
Panama,PAN,2,211
Denmark,DNK,2,197
Greece,GRC,2,187
Brazil,BRA,2,182
Albania,ALB,2,118
Ghana,GHA,2,108
Gabon,GAB,2,103
Norway,NOR,2,96
Chile,CHL,2,94
Morocco,MAR,2,81
Mexico,MEX,2,76
Ireland,IRL,2,74
Philippines,PHL,2,71
Spain,ESP,2,70
Portugal,PRT,2,60
Viet Nam,VNM,2,56
Poland,POL,2,55
Bahrain,BHR,2,53
Belgium,BEL,2,51
India,IND,2,51
Sri Lanka,LKA,2,43
Thailand,THA,2,43
Colombia,COL,2,42
Liechtenstein,LIE,2,41
Namibia,NAM,2,39
Kazakhstan,KAZ,2,36
New Zealand,NZL,2,36
Peru,PER,2,36
Argentina,ARG,2,34
