cluster,code,cluster_share,corpus_share,ratio,v_test,n_countries,label
1,attribution__ATR-ISR,0.47369585799631614,0.2866541878105139,1.6524993463882056,7.002504145827083,29,ATR-ISR Attributed to Israel
1,violence_type__VS,0.34441553497758426,0.23059521873443098,1.4935935656768167,6.405515892214888,29,VS Structural violence
1,transcend__T0,0.10169306035005057,0.05108983116550368,1.9904755609902005,5.645091597626,29,T0 Either/Or (Zero-sum)
1,relation_type__ANTI,0.03453014244199344,0.015481226067875688,2.2304526973897243,5.072199574515069,29,ANTI Antibiosis
1,violence_type__VD,0.3740413727775429,0.29712958391882377,1.2588493136372834,4.607159723883367,29,VD Direct violence
1,transcend__T1,0.1001235052800576,0.05614919638113152,1.7831689807354623,4.581537186014562,29,T1 Leaning zero-sum
1,positive_negative__PN3,0.22233036710138257,0.16792011387304204,1.3240246327457712,4.371510584526038,29,PN3 Predominantly positive peace
1,violence_type__VC,0.03272085962825238,0.019147009262759383,1.7089279677685179,3.9327259938445525,29,VC Cultural violence
1,positive_negative__PN0,0.11842503801102355,0.09571377982363456,1.2372830560995243,3.41424026764173,29,PN0 Pure negative peace
1,imperialism__I3,0.04202814549123958,0.03228743063078258,1.301687519575196,2.738161837331231,29,I3 Predominantly equal
1,positive_negative__NONE_ABSENT,0.4728915779989447,0.4381216790287154,1.0793612839412825,2.3426209400402276,29,positive_negative: none
1,imperialism__I4,0.020570643174745447,0.014975463255321796,1.3736231610354561,2.089714558357519,29,I4 Full equality
1,relation_type__AB,0.0025200138413712823,0.0014865506875988152,1.6952088229442024,1.9845563966466646,29,AB Abiosis
1,relation_type__NONE_ABSENT,0.876734616392696,0.8636507486495659,1.0151494892623998,1.955250096370064,29,relation_type: none
1,imperialism__I0,0.008009450566448709,0.006697896322911863,1.195815847290789,0.8154840076165355,29,I0 Total asymmetry
1,imperialism__NONE_ABSENT,0.793697578198167,0.7909300935150876,1.0034990256481202,0.2942708376098779,29,imperialism: none
1,imperialism__I1,0.11851088934537438,0.11833677559214598,1.001471341029508,0.02003255696945425,29,I1 Predominantly asymmetric
1,transcend__T2,0.04431328095998245,0.04694632578430468,0.9439137189048664,-0.5949799458705043,29,T2 Compromise
1,positive_negative__PN4,0.005154209397680345,0.009388057716290869,0.549017651301437,-2.328600727216458,29,PN4 Pure positive peace
1,attribution__NONE,0.0801314030897672,0.10163663494457266,0.788410627068347,-2.983307975816621,29,NONE Unattributed (explicit NONE)
1,transcend__NONE_ABSENT,0.6991472676084405,0.7453052220150859,0.9380683872281911,-3.374447263251138,29,transcend: none
1,positive_negative__PN1,0.22086492783828146,0.2623501238385139,0.841870873193229,-3.4606111061225096,29,PN1 Predominantly negative peace
1,transcend__T3,0.05234215914299751,0.07575824054442837,0.6909104378196519,-3.734503102697781,29,T3 Leaning both/and
1,imperialism__I2,0.029146329680658025,0.0514698760134806,0.5662793839453633,-3.8395223215411285,29,I2 Mixed / negotiated
1,relation_type__SYM,0.08663174838671622,0.11979515512905581,0.7231657097767225,-4.300840384863077,29,SYM Symbiosis
1,positive_negative__PN2,0.06691894576480788,0.12590605813965552,0.5314990140552339,-5.126961312657353,29,PN2 Transitional
1,transcend__T4,0.007245976673204199,0.028495034507235936,0.2542890997855847,-5.1592299218942275,29,T4 Both/And (Transcend)
1,attribution__ATR-PAL,0.006995735951330215,0.06593874829845414,0.1060944608724734,-5.1975647795427875,29,ATR-PAL Attributed to Palestinian factions / Hamas
1,violence_type__NONE_ABSENT,0.4613316721441261,0.5831851355124462,0.7910552653896997,-5.681116194400781,29,violence_type: none
1,attribution__NONE_ABSENT,0.4613316721441261,0.5831851355124462,0.7910552653896997,-5.681116194400781,29,attribution: none
2,violence_type__NONE_ABSENT,0.6693741705778433,0.5831851355124462,1.1477901781389928,5.68111619440078,41,violence_type: none
2,attribution__NONE_ABSENT,0.6693741705778433,0.5831851355124462,1.1477901781389928,5.68111619440078,41,attribution: none
2,attribution__ATR-PAL,0.10763014727568813,0.06593874829845414,1.632274649626787,5.197564779542786,41,ATR-PAL Attributed to Palestinian factions / Hamas
2,transcend__T4,0.04352485590203886,0.028495034507235936,1.5274540513711714,5.159229921894223,41,T4 Both/And (Transcend)
2,positive_negative__PN2,0.16762864981942593,0.12590605813965552,1.331378746156055,5.126961312657368,41,PN2 Transitional
2,relation_type__SYM,0.143252198922418,0.11979515512905581,1.195809619914026,4.300840384863086,41,SYM Symbiosis
2,imperialism__I2,0.0672597014684039,0.0514698760134806,1.3067779967215727,3.8395223215411316,41,I2 Mixed / negotiated
2,transcend__T3,0.09232083470641603,0.07575824054442837,1.2186243244690265,3.7345031026977766,41,T3 Leaning both/and
2,positive_negative__PN1,0.2916933112533123,0.2623501238385139,1.1118474311560083,3.4606111061224913,41,PN1 Predominantly negative peace
2,transcend__NONE_ABSENT,0.7779535312295423,0.7453052220150859,1.0438052870824988,3.374447263251127,41,transcend: none
2,attribution__NONE,0.11684765259797168,0.10163663494457266,1.1496607759760475,2.9833079758166288,41,NONE Unattributed (explicit NONE)
2,positive_negative__PN4,0.012382730917259287,0.009388057716290869,1.3189875149331298,2.328600727216458,41,PN4 Pure positive peace
2,transcend__T2,0.048808723342971636,0.04694632578430468,1.039670784189241,0.594979945870508,41,T2 Compromise
2,imperialism__I1,0.1182136219618137,0.11833677559214598,0.9989592953693726,-0.020032556969452713,41,I1 Predominantly asymmetric
2,imperialism__NONE_ABSENT,0.788972604349007,0.7909300935150876,0.9975250794196222,-0.2942708376098881,41,imperialism: none
2,imperialism__I0,0.005770211614068728,0.006697896322911863,0.8614961080138323,-0.8154840076165359,41,I0 Total asymmetry
2,relation_type__NONE_ABSENT,0.8543963056117425,0.8636507486495659,0.9892845075948884,-1.9552500963699997,41,relation_type: none
2,relation_type__AB,0.0007555645544426795,0.0014865506875988152,0.508266930112637,-1.9845563966466657,41,AB Abiosis
2,imperialism__I4,0.011017896970851409,0.014975463255321796,0.7357299592676042,-2.0897145583575196,41,I4 Full equality
2,positive_negative__NONE_ABSENT,0.4135283358546507,0.4381216790287154,0.9438664089195805,-2.3426209400402342,41,positive_negative: none
2,imperialism__I3,0.025397656705093474,0.03228743063078258,0.7866112666419344,-2.7381618373312326,41,I3 Predominantly equal
2,positive_negative__PN0,0.07964971915450576,0.09571377982363456,0.832165643246678,-3.41424026764173,41,PN0 Pure negative peace
2,violence_type__VC,0.00954599315058142,0.019147009262759383,0.49856314474909763,-3.932725993844549,41,VC Cultural violence
2,positive_negative__PN3,0.12943481280909377,0.16792011387304204,0.7708118451310394,-4.371510584526047,41,PN3 Predominantly positive peace
