country,Albania,Algeria,Argentina,Bahrain,Bangladesh,Belgium,Brazil,Chile,China,Colombia,Cuba,Denmark,Ecuador,Egypt,France,Gabon,Ghana,Greece,Guyana,India,Indonesia,Iran,Iraq,Ireland,Japan,Jordan,Kazakhstan,Kuwait,Lebanon,Libya,Liechtenstein,Malaysia,Maldives,Malta,Mauritania,Mexico,Morocco,Mozambique,Namibia,New Zealand,Norway,Oman,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Qatar,Republic of Korea,Russian Federation,Saudi Arabia,Sierra Leone,Slovenia,Somalia,South Africa,Spain,Sri Lanka,Switzerland,Syrian Arab Republic,Thailand,Tunisia,Türkiye,Uganda,United Arab Emirates,United Kingdom,United States,Venezuela,Viet Nam,Yemen
Albania,1.0,0.025,0.97,0.975,0.025,0.975,0.975,0.96,0.33,0.89,0.025,0.97,0.975,0.025,0.975,0.975,0.975,0.975,0.25,0.975,0.115,0.025,0.025,0.975,0.975,0.025,0.975,0.025,0.075,0.025,0.87,0.025,0.12,0.975,0.025,0.975,0.935,0.975,0.77,0.98,0.965,0.025,0.025,0.975,0.975,0.975,0.975,0.975,0.075,0.975,0.12,0.025,0.975,0.975,0.035,0.27,0.975,0.975,0.975,0.025,0.975,0.025,0.035,0.065,0.975,0.89,0.905,0.025,0.97,0.195
Algeria,0.025,1.0,0.005,0.0,1.0,0.0,0.0,0.015,0.695,0.095,1.0,0.005,0.0,1.0,0.0,0.0,0.0,0.0,0.765,0.0,0.91,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.95,1.0,0.145,1.0,0.905,0.0,1.0,0.0,0.05,0.0,0.225,0.005,0.01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.905,1.0,0.0,0.0,0.99,0.755,0.0,0.0,0.0,1.0,0.0,1.0,0.99,0.96,0.0,0.095,0.1,1.0,0.005,0.83
Argentina,0.97,0.005,1.0,0.995,0.005,0.995,0.995,0.98,0.31,0.9,0.005,0.99,0.995,0.005,0.995,0.995,0.995,0.995,0.24,0.995,0.095,0.005,0.005,0.995,0.995,0.005,0.995,0.005,0.055,0.005,0.86,0.005,0.1,0.995,0.005,0.995,0.945,0.995,0.77,0.99,0.985,0.005,0.005,0.995,0.995,0.995,0.995,0.995,0.055,0.995,0.1,0.005,0.995,0.995,0.015,0.25,0.995,0.995,0.995,0.005,0.995,0.005,0.015,0.045,0.995,0.91,0.905,0.005,0.99,0.175
Bahrain,0.975,0.0,0.995,1.0,0.0,1.0,1.0,0.985,0.305,0.905,0.0,0.995,1.0,0.0,1.0,1.0,1.0,1.0,0.235,1.0,0.09,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.05,0.0,0.855,0.0,0.095,1.0,0.0,1.0,0.95,1.0,0.775,0.995,0.99,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.095,0.0,1.0,1.0,0.01,0.245,1.0,1.0,1.0,0.0,1.0,0.0,0.01,0.04,1.0,0.905,0.9,0.0,0.995,0.17
Bangladesh,0.025,1.0,0.005,0.0,1.0,0.0,0.0,0.015,0.695,0.095,1.0,0.005,0.0,1.0,0.0,0.0,0.0,0.0,0.765,0.0,0.91,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.95,1.0,0.145,1.0,0.905,0.0,1.0,0.0,0.05,0.0,0.225,0.005,0.01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.905,1.0,0.0,0.0,0.99,0.755,0.0,0.0,0.0,1.0,0.0,1.0,0.99,0.96,0.0,0.095,0.1,1.0,0.005,0.83
Belgium,0.975,0.0,0.995,1.0,0.0,1.0,1.0,0.985,0.305,0.905,0.0,0.995,1.0,0.0,1.0,1.0,1.0,1.0,0.235,1.0,0.09,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.05,0.0,0.855,0.0,0.095,1.0,0.0,1.0,0.95,1.0,0.775,0.995,0.99,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.095,0.0,1.0,1.0,0.01,0.245,1.0,1.0,1.0,0.0,1.0,0.0,0.01,0.04,1.0,0.905,0.9,0.0,0.995,0.17
Brazil,0.975,0.0,0.995,1.0,0.0,1.0,1.0,0.985,0.305,0.905,0.0,0.995,1.0,0.0,1.0,1.0,1.0,1.0,0.235,1.0,0.09,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.05,0.0,0.855,0.0,0.095,1.0,0.0,1.0,0.95,1.0,0.775,0.995,0.99,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.095,0.0,1.0,1.0,0.01,0.245,1.0,1.0,1.0,0.0,1.0,0.0,0.01,0.04,1.0,0.905,0.9,0.0,0.995,0.17
Chile,0.96,0.015,0.98,0.985,0.015,0.985,0.985,1.0,0.31,0.89,0.015,0.98,0.985,0.015,0.985,0.985,0.985,0.985,0.25,0.985,0.105,0.015,0.015,0.985,0.985,0.015,0.985,0.015,0.065,0.015,0.84,0.015,0.11,0.985,0.015,0.985,0.945,0.985,0.77,0.98,0.975,0.015,0.015,0.985,0.985,0.985,0.985,0.985,0.065,0.985,0.11,0.015,0.985,0.985,0.025,0.25,0.985,0.985,0.985,0.015,0.985,0.015,0.025,0.055,0.985,0.9,0.885,0.015,0.98,0.185
China,0.33,0.695,0.31,0.305,0.695,0.305,0.305,0.31,1.0,0.35,0.695,0.31,0.305,0.695,0.305,0.305,0.305,0.305,0.63,0.305,0.695,0.695,0.695,0.305,0.305,0.695,0.305,0.695,0.695,0.695,0.38,0.695,0.69,0.305,0.695,0.305,0.345,0.305,0.38,0.31,0.305,0.695,0.695,0.305,0.305,0.305,0.305,0.305,0.735,0.305,0.66,0.695,0.305,0.305,0.705,0.62,0.305,0.305,0.305,0.695,0.305,0.695,0.695,0.685,0.305,0.35,0.355,0.695,0.31,0.645
Colombia,0.89,0.095,0.9,0.905,0.095,0.905,0.905,0.89,0.35,1.0,0.095,0.9,0.905,0.095,0.905,0.905,0.905,0.905,0.29,0.905,0.185,0.095,0.095,0.905,0.905,0.095,0.905,0.095,0.145,0.095,0.83,0.095,0.18,0.905,0.095,0.905,0.885,0.905,0.77,0.9,0.915,0.095,0.095,0.905,0.905,0.905,0.905,0.905,0.145,0.905,0.19,0.095,0.905,0.905,0.105,0.32,0.905,0.905,0.905,0.095,0.905,0.095,0.105,0.135,0.905,0.83,0.835,0.095,0.9,0.265
