country,iso3,n_paragraphs,share__violence_type__VD,share__violence_type__VS,share__violence_type__VC,share__violence_type__NONE_ABSENT,share__attribution__ATR-ISR,share__attribution__ATR-PAL,share__attribution__NONE,share__attribution__NONE_ABSENT,share__positive_negative__PN0,share__positive_negative__PN1,share__positive_negative__PN2,share__positive_negative__PN3,share__positive_negative__PN4,share__positive_negative__NONE_ABSENT,share__transcend__T0,share__transcend__T1,share__transcend__T2,share__transcend__T3,share__transcend__T4,share__transcend__NONE_ABSENT,share__imperialism__I0,share__imperialism__I1,share__imperialism__I2,share__imperialism__I3,share__imperialism__I4,share__imperialism__NONE_ABSENT,share__relation_type__AB,share__relation_type__ANTI,share__relation_type__SYM,share__relation_type__NONE_ABSENT,count__violence_type__VD,count__violence_type__VS,count__violence_type__VC,count__violence_type__NONE_ABSENT,count__attribution__ATR-ISR,count__attribution__ATR-PAL,count__attribution__NONE,count__attribution__NONE_ABSENT,count__positive_negative__PN0,count__positive_negative__PN1,count__positive_negative__PN2,count__positive_negative__PN3,count__positive_negative__PN4,count__positive_negative__NONE_ABSENT,count__transcend__T0,count__transcend__T1,count__transcend__T2,count__transcend__T3,count__transcend__T4,count__transcend__NONE_ABSENT,count__imperialism__I0,count__imperialism__I1,count__imperialism__I2,count__imperialism__I3,count__imperialism__I4,count__imperialism__NONE_ABSENT,count__relation_type__AB,count__relation_type__ANTI,count__relation_type__SYM,count__relation_type__NONE_ABSENT
Russian Federation,RUS,1091,0.3473877176901925,0.2804766269477543,0.04124656278643447,0.4894592117323556,0.43538038496791936,0.025664527956003668,0.0925756186984418,0.4894592117323556,0.14390467461044912,0.11640696608615948,0.07241063244729606,0.09349220898258478,0.008249312557286892,0.6315307057745188,0.04949587534372136,0.05866177818515124,0.02933088909257562,0.051329055912007336,0.012832263978001834,0.8020164986251146,0.021998166819431713,0.08340971585701192,0.04307974335472044,0.021081576535288724,0.007332722273143905,0.8285976168652612,0.0009165902841429881,0.032080659945004586,0.07516040329972502,0.8918423464711274,379,306,45,534,475,28,101,534,157,127,79,102,9,689,54,64,32,56,14,875,24,91,47,23,8,904,1,35,82,973
United States,USA,877,0.3523375142531357,0.1516533637400228,0.029646522234891677,0.5587229190421893,0.08551881413911061,0.28734321550741165,0.10262257696693272,0.5587229190421893,0.11288483466362599,0.3603192702394527,0.08893956670467502,0.06841505131128849,0.026225769669327253,0.4150513112884835,0.11630558722919042,0.11630558722919042,0.03534777651083238,0.06157354618015964,0.026225769669327253,0.6590649942987458,0.059293044469783354,0.15051311288483465,0.036488027366020526,0.01596351197263398,0.004561003420752566,0.7537058152793614,0.0068415051311288486,0.03420752565564424,0.09578107183580388,0.8665906499429875,309,133,26,490,75,252,90,490,99,316,78,60,23,364,102,102,31,54,23,578,52,132,32,14,4,661,6,30,84,760
Sierra Leone,SLE,758,0.2796833773087071,0.21899736147757257,0.014511873350923483,0.6068601583113457,0.20184696569920843,0.07651715039577836,0.16754617414248021,0.6068601583113457,0.10158311345646438,0.23482849604221637,0.12532981530343007,0.08443271767810026,0.009234828496042216,0.525065963060686,0.0013192612137203166,0.00395778364116095,0.044854881266490766,0.05804749340369393,0.022427440633245383,0.8693931398416886,0.0013192612137203166,0.1345646437994723,0.052770448548812667,0.011873350923482849,0.0079155672823219,0.7994722955145118,0.0,0.0013192612137203166,0.0870712401055409,0.9116094986807388,212,166,11,460,153,58,127,460,77,178,95,64,7,398,1,3,34,44,17,659,1,102,40,9,6,606,0,1,66,691
Algeria,DZA,644,0.33540372670807456,0.4052795031055901,0.026397515527950312,0.43478260869565216,0.5124223602484472,0.0015527950310559005,0.06677018633540373,0.43478260869565216,0.12267080745341614,0.11490683229813664,0.04192546583850932,0.17236024844720496,0.0015527950310559005,0.5822981366459627,0.15838509316770186,0.06987577639751552,0.020186335403726708,0.021739130434782608,0.003105590062111801,0.7282608695652174,0.013975155279503106,0.09782608695652174,0.006211180124223602,0.026397515527950312,0.024844720496894408,0.8354037267080745,0.007763975155279503,0.07453416149068323,0.031055900621118012,0.8881987577639752,216,261,17,280,330,1,43,280,79,74,27,111,1,375,102,45,13,14,2,469,9,63,4,17,16,538,5,48,20,572
Guyana,GUY,601,0.33277870216306155,0.30615640599001664,0.019966722129783693,0.5041597337770383,0.33777038269550747,0.05324459234608985,0.16805324459234608,0.5041597337770383,0.129783693843594,0.24958402662229617,0.07154742096505824,0.13976705490848584,0.0033277870216306157,0.46921797004991683,0.04492512479201331,0.03993344425956739,0.033277870216306155,0.07487520798668885,0.011647254575707155,0.7953410981697171,0.0066555740432612314,0.19633943427620631,0.014975041597337771,0.016638935108153077,0.004991680532445923,0.7670549084858569,0.0,0.013311148086522463,0.08818635607321132,0.8985024958402662,200,184,12,303,203,32,101,303,78,150,43,84,2,282,27,24,20,45,7,478,4,118,9,10,3,461,0,8,53,540
China,CHN,573,0.28970331588132636,0.3089005235602094,0.005235602094240838,0.5497382198952879,0.37521815008726006,0.0034904013961605585,0.1099476439790576,0.5497382198952879,0.2181500872600349,0.3263525305410122,0.1082024432809773,0.17452006980802792,0.008726003490401396,0.2844677137870855,0.031413612565445025,0.041884816753926704,0.06980802792321117,0.0924956369982548,0.02617801047120419,0.7486910994764397,0.006980802792321117,0.2181500872600349,0.06282722513089005,0.055846422338568937,0.0034904013961605585,0.6893542757417103,0.0,0.0017452006980802793,0.1518324607329843,0.8464223385689355,166,177,3,315,215,2,63,315,125,187,62,100,5,163,18,24,40,53,15,429,4,125,36,32,2,395,0,1,87,485
Slovenia,SVN,561,0.24064171122994651,0.1889483065953654,0.008912655971479501,0.679144385026738,0.16755793226381463,0.0677361853832442,0.1443850267379679,0.679144385026738,0.1319073083778966,0.23529411764705882,0.14260249554367202,0.06060606060606061,0.012477718360071301,0.5062388591800356,0.012477718360071301,0.017825311942959002,0.058823529411764705,0.0748663101604278,0.0196078431372549,0.82174688057041,0.0071301247771836,0.12834224598930483,0.049910873440285206,0.0285204991087344,0.012477718360071301,0.7914438502673797,0.0,0.0,0.08912655971479501,0.910873440285205,135,106,5,381,94,38,81,381,74,132,80,34,7,284,7,10,33,42,11,461,4,72,28,16,7,444,0,0,50,511
France,FRA,544,0.33088235294117646,0.19852941176470587,0.0,0.5680147058823529,0.22794117647058823,0.18382352941176472,0.07352941176470588,0.5680147058823529,0.11213235294117647,0.33639705882352944,0.16911764705882354,0.11580882352941177,0.009191176470588236,0.35110294117647056,0.05330882352941176,0.07169117647058823,0.08088235294117647,0.11764705882352941,0.025735294117647058,0.6617647058823529,0.009191176470588236,0.1875,0.07169117647058823,0.03125,0.0,0.7205882352941176,0.001838235294117647,0.0055147058823529415,0.15625,0.8419117647058824,180,108,0,309,124,100,40,309,61,183,92,63,5,191,29,39,44,64,14,360,5,102,39,17,0,392,1,3,85,458
United Kingdom,GBR,483,0.35610766045548653,0.23395445134575568,0.012422360248447204,0.525879917184265,0.2587991718426501,0.18840579710144928,0.09523809523809523,0.525879917184265,0.10559006211180125,0.41821946169772256,0.14285714285714285,0.10766045548654245,0.008281573498964804,0.33540372670807456,0.047619047619047616,0.06625258799171843,0.09316770186335403,0.10559006211180125,0.041407867494824016,0.6790890269151139,0.016563146997929608,0.19461697722567287,0.051759834368530024,0.039337474120082816,0.002070393374741201,0.7163561076604554,0.0,0.010351966873706004,0.14906832298136646,0.84472049689441,172,113,6,254,125,91,46,254,51,202,69,52,4,162,23,32,45,51,20,328,8,94,25,19,1,346,0,5,72,408
Switzerland,CHE,475,0.27789473684210525,0.1368421052631579,0.002105263157894737,0.6378947368421053,0.16421052631578947,0.11157894736842106,0.14736842105263157,0.6378947368421053,0.10105263157894737,0.35789473684210527,0.10947368421052632,0.07368421052631578,0.018947368421052633,0.4231578947368421,0.0,0.01263157894736842,0.031578947368421054,0.023157894736842106,0.06947368421052631,0.8652631578947368,0.0,0.12421052631578948,0.04842105263157895,0.010526315789473684,0.00631578947368421,0.8168421052631579,0.0,0.0,0.1031578947368421,0.8968421052631579,132,65,1,303,78,53,70,303,48,170,52,35,9,201,0,6,15,11,33,411,0,59,23,5,3,388,0,0,49,426
Republic of Korea,KOR,464,0.3599137931034483,0.2521551724137931,0.021551724137931036,0.5150862068965517,0.30603448275862066,0.1788793103448276,0.11853448275862069,0.5150862068965517,0.14870689655172414,0.27586206896551724,0.13577586206896552,0.07112068965517242,0.017241379310344827,0.4504310344827586,0.010775862068965518,0.032327586206896554,0.05603448275862069,0.10129310344827586,0.017241379310344827,0.7823275862068966,0.008620689655172414,0.16810344827586207,0.05818965517241379,0.010775862068965518,0.004310344827586207,0.7758620689655172,0.0,0.0,0.1206896551724138,0.8793103448275862,167,117,10,239,142,83,55,239,69,128,63,33,8,209,5,15,26,47,8,363,4,78,27,5,2,360,0,0,56,408
Malta,MLT,455,0.34725274725274724,0.23296703296703297,0.006593406593406593,0.545054945054945,0.26373626373626374,0.11428571428571428,0.14725274725274726,0.545054945054945,0.13406593406593406,0.3120879120879121,0.12747252747252746,0.10989010989010989,0.006593406593406593,0.3978021978021978,0.015384615384615385,0.024175824175824177,0.041758241758241756,0.07252747252747253,0.03296703296703297,0.8175824175824176,0.002197802197802198,0.15384615384615385,0.04395604395604396,0.03296703296703297,0.0,0.7846153846153846,0.0,0.0,0.11868131868131868,0.8813186813186813,158,106,3,248,120,52,67,248,61,142,58,50,3,181,7,11,19,33,15,372,1,70,20,15,0,357,0,0,54,401
Mozambique,MOZ,370,0.17027027027027028,0.1,0.008108108108108109,0.7621621621621621,0.13783783783783785,0.01891891891891892,0.11621621621621622,0.7621621621621621,0.0891891891891892,0.27837837837837837,0.1972972972972973,0.06756756756756757,0.024324324324324326,0.42702702702702705,0.021621621621621623,0.010810810810810811,0.02702702702702703,0.03783783783783784,0.0891891891891892,0.8135135135135135,0.0,0.10810810810810811,0.07027027027027027,0.013513513513513514,0.032432432432432434,0.7891891891891892,0.0,0.0,0.12702702702702703,0.8729729729729729,63,37,3,282,51,7,43,282,33,103,73,25,9,158,8,4,10,14,33,301,0,40,26,5,12,292,0,0,47,323
