Event,Cluster,Outcome,Pre,Post,Change,N pre,N post
E1 icj orders,C1,attribution_israel,0.8461538461538461,0.8038674033149171,-0.04228644283892902,637,724
E1 icj orders,C2,attribution_israel,0.41479099678456594,0.47050359712230216,0.05571260033773623,622,695
E1 icj orders,C1,structural_violence,0.6043956043956044,0.5828729281767956,-0.021522676218808767,637,724
E1 icj orders,C2,structural_violence,0.3842443729903537,0.39280575539568346,0.008561382405329776,622,695
E1 icj orders,C1,transformative_framing,0.0903522205206738,0.05547550432276657,-0.034876716197907234,1306,1388
E1 icj orders,C2,transformative_framing,0.16076447442383363,0.11288711288711288,-0.047877361536720744,1779,2002
E1 icj orders,C1,transformative_framing_strict,0.05436447166921899,0.035302593659942365,-0.019061878009276625,1306,1388
E1 icj orders,C2,transformative_framing_strict,0.1315345699831366,0.08441558441558442,-0.047118985567552174,1779,2002
E2 ceasefire 1,C1,attribution_israel,0.8979591836734694,0.8851674641148325,-0.012791719558636894,784,209
E2 ceasefire 1,C2,attribution_israel,0.5296803652968036,0.4,-0.1296803652968036,657,120
E2 ceasefire 1,C1,structural_violence,0.5752551020408163,0.6889952153110048,0.11374011327018851,784,209
E2 ceasefire 1,C2,structural_violence,0.5068493150684932,0.4666666666666667,-0.040182648401826504,657,120
