cluster,phase,country,iso3,date,meeting_id,speech_id,unit_id,speaker_name,violence_type,attribution,positive_negative,transcend,imperialism,relation_type,confidence_mean,evidence_verified_all,evidence_quote,paragraph_text,signature_codes_matched
C1,P1_war_onset,Syrian Arab Republic,SYR,2024-01-24,S/PV.9534 (Resumption 1),S/PV.9534 (Resumption 1)#16,97d8c545e586c9fa,Mr. Dandy,VS,ATR-ISR,,,,,0.95,1,"attempts to change the demographic composition and the institutional structure of the occupied Syrian Golan by building additional settlements, increasing the number of settlers, confiscating land for implementing settlement projects and constructing gigantic wind turbines, as well as attempting to impose Israeli nationality and land titles on the Golan population || attempts to change the demographic composition and the institutional structure of the occupied Syrian Golan by building additional settlements, increasing the number of settlers, confiscating land for implementing settlement projects and constructing gigantic wind turbines, as well as attempting to impose Israeli nationality and land titles on the Golan population || Israel's plunder of natural resources and continuing closure, since 2014, of the Quneitra crossing","As part of the same policy of aggression pursued by the Israeli occupying authorities against the occupied Arab territories, and since its occupation of the Syrian Golan in 1967, the Israeli authorities have systematically committed the most heinous violations of international law, international human rights law and international humanitarian law, including attempts to change the demographic composition and the institutional structure of the occupied Syrian Golan by building additional settlements, increasing the number of settlers, confiscating land for implementing settlement projects and constructing gigantic wind turbines, as well as attempting to impose Israeli nationality and land titles on the Golan population. Added to that is Israel’s plunder of natural resources and continuing closure, since 2014, of the Quneitra crossing, which is the sole lifeline between the residents of the occupied Golan and their families in their homeland of Syria.",attribution__ATR-ISR|violence_type__VS
C1,P1_war_onset,Cuba,CUB,2024-01-24,S/PV.9534 (Resumption 1),S/PV.9534 (Resumption 1)#4,35b8a40a1ad1baf0,Mr. Peñalver Portal,VS,ATR-ISR,PN3,T1,,,0.9,1,"Israeli occupation of Palestinian territory, including East Jerusalem || Israeli occupation of Palestinian territory, including East Jerusalem || The root causes of the Israeli-Palestinian conflict, which did not begin on 7 October 2023, must be addressed without delay.","The root causes of the Israeli-Palestinian conflict, which did not begin on 7 October 2023, must be addressed without delay. The Security Council must urgently enforce its own resolutions so as to end the Israeli occupation of Palestinian territory, including East Jerusalem. This organ cannot remain inert in the face of Israel’s illegal policy of annexation, all its colonizing practices and its system of apartheid, which have persisted for more than seven decades in the occupied Palestinian territories, in flagrant violation of the purposes and principles of the Charter of the United Nations and international law. Nothing can justify such actions.",attribution__ATR-ISR|violence_type__VS|transcend__T1
C1,P1_war_onset,Kuwait,KWT,2023-10-24,S/PV.9451 (Resumption 1),S/PV.9451 (Resumption 1)#76,a7343c6e51719a88,Mr. Albanai,VD|VS,ATR-ISR,,,,,0.9,1,"serious escalation of military operations carried out by the Israeli occupying authorities against our Palestinian brothers in the Gaza Strip, in addition to the collective punishment they are suffering through the targeting of unarmed civilians by continued air strikes, leading to thousands of innocent victims, including children, women and men, as well as the continued targeting of basic services || serious escalation of military operations carried out by the Israeli occupying authorities against our Palestinian brothers in the Gaza Strip, in addition to the collective punishment they are suffering through the targeting of unarmed civilians by continued air strikes, leading to thousands of innocent victims, including children, women and men, as well as the continued targeting of basic services || the cutting off of electricity, water, food, fuel and the calls for the forced displacement of the Gaza Strip's residents","Today we meet amid tragic developments resulting in the suffering of the brotherly Palestinian people. Those developments have serious implications for security and stability in the region and, in fact, the entire world. What we are witnessing today in the form of a serious escalation of military operations carried out by the Israeli occupying authorities against our Palestinian brothers in the Gaza Strip, in addition to the collective punishment they are suffering through the targeting of unarmed civilians by continued air strikes, leading to thousands of innocent victims, including children, women and men, as well as the continued targeting of basic services and the cutting off of electricity, water, food, fuel and the calls for the forced displacement of the Gaza Strip’s residents — all of these are not acceptable to any religion, law or human nature.",attribution__ATR-ISR|violence_type__VS|violence_type__VD
C1,P1_war_onset,Iran,IRN,2023-11-28,A/78/PV.40,A/78/PV.40#20,20ef59d138f257f9,Mr. Iravani,VS,ATR-ISR,PN1|PN3|PN4,T1,I3,,0.824,1,"ending the occupation || ending the occupation || the most effective and durable path to peace in Palestine is the holding of a referendum among all residents of Palestine — Jews, Christians and Muslims, including displaced Palestinians and refugees.","In conclusion, my delegation once again reiterates its principled position that the most effective and durable path to peace in Palestine is the holding of a referendum among all residents of Palestine — Jews, Christians and Muslims, including displaced Palestinians and refugees. Based on the history of conflict and instability in the Middle East over the past seven decades, the Islamic Republic of Iran believes that durable peace can be achieved only by ending the occupation, restoring Palestinians’ inalienable right to self-determination, returning refugees to their homelands and establishing a Palestinian State with Al-Quds Al-Sharif as its capital. We believe that the most important and urgent priority is to extend the humanitarian pause in Gaza and turn it into a durable ceasefire, and to provide rapid and extensive transfer of humanitarian aid to Gaza.",attribution__ATR-ISR|violence_type__VS|transcend__T1
C1,P1_war_onset,South Africa,ZAF,2023-11-28,A/78/PV.39,A/78/PV.39#16,72779b4f2b6fce1e,Ms. Joyini,VD,ATR-ISR,PN0,,,,0.9,1,indiscriminate attacks by Israel on the civilian population in Gaza || indiscriminate attacks by Israel on the civilian population in Gaza || call for the immediate cessation of violence and an end to the indiscriminate attacks by Israel on the civilian population in Gaza,South Africa expresses its grave concern over the devastating escalation in the Israeli-Palestinian conflict. We extend our deepest condolences to all victims and call for the immediate cessation of violence and an end to the indiscriminate attacks by Israel on the civilian population in Gaza.,attribution__ATR-ISR|violence_type__VD
C1,P1_war_onset,Syrian Arab Republic,SYR,2024-01-24,S/PV.9534 (Resumption 1),S/PV.9534 (Resumption 1)#16,dc9cd96b36864428,Mr. Dandy,VD,ATR-ISR,,,,,0.95,1,"Israel has repeatedly launched attacks on Syrian territories while targeting residential areas and critical facilities, including civil ports and airports... The most recent, on 20 January, targeted a residential building in a Damascus neighbourhood || Israel has repeatedly launched attacks on Syrian territories while targeting residential areas and critical facilities, including civil ports and airports... The most recent, on 20 January, targeted a residential building in a Damascus neighbourhood","In pursuing its hostile policies, Israel has repeatedly launched attacks on Syrian territories while targeting residential areas and critical facilities, including civil ports and airports. Such attacks jeopardize the lives of civilians and the safety of civil aviation, while obstructing United Nations humanitarian operations. The most recent, on 20 January, targeted a residential building in a Damascus neighbourhood. The repeated attacks on territories of the Syrian Arab Republic and the constant threats against the States in the region are an unambiguous expression of the Israeli occupation’s expansionist plans in the region, in violation of Arabs’ rights in Palestine and other occupied territories.",attribution__ATR-ISR|violence_type__VD
C1,P1_war_onset,Egypt,EGY,2023-10-24,S/PV.9451 (Resumption 1),S/PV.9451 (Resumption 1)#4,8e6041948fe104d8,Mr. Selim,VC|VD,NONE,,,,,0.775,1,the killing and targeting of civilians || the killing and targeting of civilians || as if the lives of Palestinians civilians were less important than the lives of others,"However, we sincerely regret the double standards on dealing with international crises, especially their humanitarian aspects, that we have seen since the beginning of this crisis. Some are rushing and competing to show sympathy for civilian victims in certain places and condemning in the strongest terms possible those responsible for civilian casualties. At the same time, they turn a blind eye towards and rush to justify the killing and targeting of civilians and their lives elsewhere, as if the lives of Palestinians civilians were less important than the lives of others and did not deserve the same efforts to protect and defend them.",violence_type__VD
C1,P1_war_onset,Syrian Arab Republic,SYR,2023-10-18,S/PV.9443,S/PV.9443#41,9478f9562cf04979,Mr. Dandy,VD|VS,ATR-ISR,,T0,,ANTI,0.888,1,The Israeli entity is actively destroying infrastructure || The Israeli entity is actively destroying infrastructure || Its brutality has reached a point where it is threatening to wipe Gaza out of existence,"The Israeli entity is actively destroying infrastructure and continuing its inhumane siege by cutting off water, food, medicine and electricity, preventing the delivery of humanitarian aid, using internationally banned weapons and employing a scorched-earth policy against the Palestinian people, including women and children. Its brutality has reached a point where it is threatening to wipe Gaza out of existence and has attacked a hospital where vulnerable people had been forced to take shelter owing to Israeli death threats. They believed that the hospital was protected under international humanitarian law. How fierce has Israel’s contempt for humankind become? Its extremist ideology and terror strategy have made it the reverse side of the terrorist organization Da’esh.",attribution__ATR-ISR|violence_type__VS|transcend__T0|relation_type__ANTI|violence_type__VD
C1,P1_war_onset,Saudi Arabia,SAU,2024-01-23,S/PV.9534,S/PV.9534#44,2d0b65c2bb912cab,Mr. El-Khereiji,VD|VS,ATR-ISR,PN1|PN2,,,,0.808,1,"the yoke of the occupation || the yoke of the occupation || bring about a ceasefire, establish peace, alleviate the suffering","In that regard, the Council, which has the primary responsibility for the maintenance of international peace and security, must take immediate action to bring about a ceasefire, establish peace, alleviate the suffering and enable the Palestinian people to preserve their dignity and enjoy their legitimate rights. How can the Palestinian people hope for a better future, a decent life and development under the yoke of the occupation and under the continuous fire of the Israeli war machine?",attribution__ATR-ISR|violence_type__VS|violence_type__VD
C1,P1_war_onset,Russian Federation,RUS,2023-12-08,S/PV.9499,S/PV.9499#3,aec55f1d9d1e0e09,Mr. Polyanskiy,VD|VS,ATR-ISR|NONE,,,,,0.838,1,"merciless Israeli bombings that have destroyed hospitals, schools and facilities of the United Nations Relief and Works Agency for Palestine Refugees in the Near East || merciless Israeli bombings that have destroyed hospitals, schools and facilities of the United Nations Relief and Works Agency for Palestine Refugees in the Near East || an Israel that has been encouraged to activate a new phase of its military operation","The outcome of this “quiet diplomacy” is a cemetery of Palestinian children, which is what Gaza has become: thousands of dead civilians and merciless Israeli bombings that have destroyed hospitals, schools and facilities of the United Nations Relief and Works Agency for Palestine Refugees in the Near East. Most importantly, the outcome is an Israel that has been encouraged to activate a new phase of its military operation and is now also planning to flood tunnels in the enclave with sea water, which further threatens more monstrous humanitarian consequences. Yet again, American diplomacy is leaving scorched earth and destruction in its wake.",attribution__ATR-ISR|violence_type__VS|violence_type__VD
